epoch	train_loss	val_loss	auroc	auprc
1	2.4572	0.8465	0.6482	0.4444
2	1.6128	1.5685	0.6445	0.4873
3	1.4102	0.9814	0.7482	0.5400
4	1.4099	1.0052	0.7590	0.5354
5	1.2832	0.9515	0.7968	0.6354
6	1.3582	1.0345	0.7723	0.5960
7	1.2257	0.8735	0.7746	0.6218
8	1.1025	0.6048	0.8193	0.6532
9	0.9586	1.0075	0.8083	0.6159
10	0.9613	1.0598	0.7530	0.6125
11	0.8326	0.9475	0.8458	0.6878
12	0.7472	0.7429	0.8359	0.6807
13	0.7161	0.6336	0.8546	0.7297
14	0.6545	0.6896	0.8603	0.7533
15	0.6327	0.6105	0.8468	0.7044
16	0.5861	0.7559	0.8625	0.7370
17	0.5976	0.7045	0.8664	0.7384
18	0.5328	0.8738	0.8624	0.7320
19	0.5014	0.8336	0.8542	0.7148
20	0.4993	0.8597	0.8717	0.7471
21	0.4975	0.7388	0.8819	0.7678
22	0.4464	0.8199	0.8770	0.7685
23	0.5048	0.8580	0.8833	0.7786
24	0.4480	0.6791	0.8888	0.7980
25	0.4213	0.7153	0.8865	0.7860
26	0.4233	0.7059	0.8763	0.7680
27	0.4266	0.8201	0.8923	0.7921
28	0.4013	0.7806	0.8783	0.7754
29	0.3865	0.8813	0.8909	0.8029
30	0.4285	0.8795	0.8787	0.7668
31	0.3608	0.9751	0.8969	0.7991
32	0.4117	1.1973	0.8829	0.7787
33	0.3994	0.9361	0.8862	0.7763
34	0.3665	0.8882	0.8947	0.8074
35	0.3572	0.9355	0.9010	0.8213
36	0.3566	1.0032	0.8927	0.7846
37	0.3761	1.4582	0.8852	0.7744
38	0.3445	0.9841	0.8877	0.7795
39	0.3406	1.0929	0.8813	0.7569
40	0.3456	1.4434	0.8834	0.7703
41	0.2958	1.1610	0.8956	0.8006
42	0.2802	1.2805	0.8979	0.7842
43	0.2711	1.2485	0.8998	0.8116
44	0.2652	1.1907	0.9014	0.8110
45	0.2721	1.4743	0.8981	0.8042
46	0.2506	1.3808	0.9053	0.8158
47	0.2264	1.4442	0.9046	0.8173
48	0.2286	1.1961	0.9024	0.8057
49	0.2106	1.3744	0.9090	0.8125
50	0.2259	1.3026	0.9067	0.8122
51	0.2103	1.4327	0.9011	0.8046
52	0.2089	1.4303	0.9002	0.8132
53	0.2136	1.3856	0.9032	0.8121
54	0.2073	1.3781	0.9061	0.8044
55	0.1969	1.6971	0.9084	0.8147
56	0.1850	1.6464	0.9056	0.8076
57	0.1843	1.7344	0.9017	0.8047
58	0.1794	1.5913	0.9057	0.8145
59	0.1829	1.8949	0.9013	0.8049
60	0.1647	1.6388	0.9009	0.8068
61	0.1679	1.7870	0.9050	0.8108
62	0.1622	1.6784	0.9036	0.8102
63	0.1590	1.8099	0.9014	0.8093
