epoch	train_loss	val_loss	auroc	auprc
1	2.4968	1.0376	0.5623	0.3883
2	1.7176	0.8823	0.7173	0.5321
3	1.4873	0.9354	0.7105	0.5242
4	1.3319	1.0673	0.7732	0.6017
5	1.2374	0.8180	0.7853	0.6103
6	1.1401	1.3721	0.7718	0.6130
7	1.0857	0.8066	0.8122	0.6461
8	1.0915	0.7000	0.8233	0.6905
9	1.0026	0.7633	0.8034	0.6474
10	1.0889	0.9070	0.8069	0.6297
11	0.9586	0.7600	0.8177	0.6875
12	0.8678	0.7868	0.8146	0.6899
13	0.8196	0.6059	0.8318	0.6991
14	0.7639	0.7027	0.8470	0.7111
15	0.7134	0.6272	0.8480	0.7360
16	0.6943	0.9954	0.8493	0.7247
17	0.6203	0.7470	0.8498	0.7225
18	0.6333	0.6882	0.8583	0.7499
19	0.5474	0.8028	0.8504	0.7379
20	0.5873	0.5717	0.8687	0.7694
21	0.5424	0.7777	0.8701	0.7684
22	0.5422	1.0934	0.8566	0.7466
23	0.4943	0.8107	0.8734	0.7738
24	0.4965	0.7440	0.8712	0.7861
25	0.5009	0.8763	0.8744	0.7856
26	0.4603	0.7217	0.8680	0.7760
27	0.4957	0.7672	0.8745	0.7703
28	0.4556	0.8635	0.8706	0.7590
29	0.4490	0.7857	0.8810	0.7878
30	0.4492	0.7663	0.8761	0.7780
31	0.4500	1.3284	0.8586	0.7478
32	0.4385	1.1550	0.8735	0.7604
33	0.4236	1.1964	0.8688	0.7680
34	0.5111	1.0141	0.8905	0.7918
35	0.4407	1.3438	0.8701	0.7813
36	0.4588	1.2993	0.8622	0.7530
37	0.4533	1.1958	0.8653	0.7672
38	0.4532	1.2053	0.8580	0.7406
39	0.4339	1.6412	0.8553	0.7485
40	0.3895	1.0904	0.8839	0.7828
41	0.3901	1.3811	0.8827	0.7705
42	0.3707	1.1867	0.8949	0.8026
43	0.3760	1.6818	0.8837	0.7848
44	0.3691	1.2753	0.8808	0.7809
45	0.4006	1.1053	0.8886	0.7830
46	0.3713	1.4001	0.8959	0.7985
47	0.4044	1.8720	0.8432	0.7281
48	0.4028	1.6610	0.8728	0.7396
49	0.4339	1.5467	0.8390	0.7002
50	0.4217	1.3372	0.8836	0.7682
51	0.4105	1.0769	0.8720	0.7590
52	0.3805	1.1444	0.8789	0.7812
53	0.3669	1.2529	0.8796	0.7769
54	0.3779	1.2302	0.8881	0.7775
55	0.3619	1.3978	0.8846	0.7928
56	0.3641	1.3104	0.8704	0.7530
57	0.3560	1.2681	0.8929	0.8029
58	0.3304	1.3145	0.8941	0.8046
59	0.3539	1.4392	0.8869	0.7967
60	0.3294	1.3544	0.8841	0.7862
